priority,type,company,person_or_role,public_contact,channel,fit_signal,source_url,fit_score,status
1,Customs Broker,Allied CHB,Licensed Customs Brokerage / Furniture Desk,info@alliedchb.com,email,"Explicit Lacey Act workflow for wood furniture; genus/species/country of harvest; multi-species entries; pure licensed customs brokerage.",https://alliedchb.com/services/furniture,10,Not contacted
2,Customs Broker,Lee Hardeman Customs Broker Inc.,Sandy Cato / VP,SandyC@LHCB.com,email,"Public customer workflow tells importer to complete Lacey declaration fields and email the completed form to Sandy; direct evidence of manual document handoff.",https://lhcb.com/customer-forms/,10,Not contacted
3,Customs Broker,A & A Customs Brokers,Trade Compliance / Licensed Customs Broker,Website call/quote,web form,"Current Lacey guidance explicitly describes coordinating foreign suppliers and collecting species/harvest-origin documentation before shipment.",https://www.aacb.com/knowledgebase/lacey-act,10,Not contacted
4,Customs Broker,HYC Logistics,Licensed U.S. Customs Brokerage Department,contact@hyclogistics.com,email,"In-house brokerage explicitly offers Lacey Act filing/processing, ACE transmissions, USDA processing and compliance consulting.",https://www.hyclogistics.com/solutions/solutions-templates,10,Not contacted
5,Customs Broker,CAP International Inc.,Licensed Customs Broker / Lacey Desk,832-649-4392,phone,"Licensed broker explicitly lists Lacey Act and agriculture/PGA clearance; strong fit for pre-filing supplier-data discovery.",https://www.cap-customs-broker.com/services-provided/,9,Not contacted
6,Customs Broker,Argents,Import Operations / Customs Brokerage,Website quote form,web form,"Explicit Lacey Act + TSCA shipments; stages accurate commercial data and supplier attestations before departure.",https://argents.com/customs/,9,Not contacted
7,Customs Broker,American Global Freights,In-house Licensed Customs Broker,Website contact/quote,web form,"In-house licensed brokers; furniture/home-goods specialty explicitly cites Lacey Act compliance for wood products.",https://agfreights.com/customs-broker-los-angeles/,9,Not contacted
8,Customs Broker,Border Brokers,Forest Products Customs Team,1-877-283-1666,phone,"Forest-products specialty explicitly includes Lacey Act, permits, softwood lumber and AD/CVD.",https://borderbrokers.com/services/industries/,9,Not contacted
9,Customs Broker,Pace Global Logistics LLC,Licensed U.S. Customs Broker,Website quote form,web form,"Brokerage explicitly files Lacey Act and other-government-agency requirements and emphasizes regulation accuracy.",https://pacegloballogistics.com/solutions/u-s-customs-brokerage/,9,Not contacted
10,Customs Broker,Zarach Logistics,Customs Brokerage / Furniture Import Team,630-595-7300,phone,"Current furniture-import guidance centers Lacey/TSCA/document readiness; customs broker + supply-chain/document platform.",https://zarachlogistics.com/,9,Not contacted
